# step L_total L_int L_bdry L_orth L_gradation
1 1.06116495e+01 1.06116495e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2 1.05177689e+01 1.05159483e+01 1.62548712e-03 1.95323679e-04 0.00000000e+00
3 1.04883833e+01 1.04747019e+01 1.26170963e-02 1.06410950e-03 0.00000000e+00
4 9.65203476e+00 9.59946537e+00 4.65694070e-02 5.99995768e-03 0.00000000e+00
5 1.09255342e+01 1.07804480e+01 1.25593215e-01 1.94933992e-02 0.00000000e+00
6 1.06778030e+01 1.05540199e+01 1.07106328e-01 1.66772828e-02 0.00000000e+00
7 1.05185404e+01 1.04351368e+01 7.41689205e-02 9.23475996e-03 0.00000000e+00
8 1.04327488e+01 1.03878069e+01 4.00482789e-02 4.89312643e-03 0.00000000e+00
9 1.04513731e+01 1.04285011e+01 2.03355663e-02 2.53654225e-03 0.00000000e+00
10 1.04435692e+01 1.04317551e+01 1.01824012e-02 1.63193513e-03 0.00000000e+00
11 1.04781942e+01 1.04697762e+01 6.55017700e-03 1.86786405e-03 0.00000000e+00
12 1.05514870e+01 1.05430326e+01 5.97226992e-03 2.48225825e-03 0.00000000e+00
13 1.04591150e+01 1.04513369e+01 5.11694886e-03 2.66078627e-03 0.00000000e+00
14 1.04554358e+01 1.04473963e+01 5.54519147e-03 2.49390490e-03 0.00000000e+00
15 1.04923992e+01 1.04816465e+01 8.16113502e-03 2.59156758e-03 0.00000000e+00
16 1.03978596e+01 1.03839626e+01 1.10812057e-02 2.81622377e-03 0.00000000e+00
17 1.04678774e+01 1.04487953e+01 1.57094356e-02 3.37185687e-03 0.00000000e+00
18 1.03094664e+01 1.02817860e+01 2.31731888e-02 4.50687064e-03 0.00000000e+00
19 1.01133766e+01 1.00675430e+01 3.89695540e-02 6.86322153e-03 0.00000000e+00
20 1.01353645e+01 1.00648088e+01 5.81402034e-02 1.24158338e-02 0.00000000e+00
21 1.01456070e+01 1.00268898e+01 9.67356861e-02 2.19813772e-02 0.00000000e+00
22 1.02359810e+01 1.00573740e+01 1.43299311e-01 3.53074856e-02 0.00000000e+00
23 1.03858948e+01 1.02156429e+01 1.38744533e-01 3.15078162e-02 0.00000000e+00
