# step L_total L_int L_bdry L_orth L_gradation
1 1.08392334e+01 1.08392334e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2 1.08463697e+01 1.08192005e+01 1.42655782e-02 1.29036400e-02 0.00000000e+00
3 1.08201475e+01 1.08001060e+01 1.48315346e-02 5.20976633e-03 0.00000000e+00
4 1.08395967e+01 1.07543316e+01 5.53044416e-02 2.99604386e-02 0.00000000e+00
5 1.08511381e+01 1.07878418e+01 4.32380885e-02 2.00582501e-02 0.00000000e+00
6 1.08047800e+01 1.07952547e+01 7.93572795e-03 1.58940617e-03 0.00000000e+00
7 1.08817301e+01 1.08660402e+01 8.21352750e-03 7.47557217e-03 0.00000000e+00
8 1.06030445e+01 1.06008339e+01 1.65971671e-03 5.51592151e-04 0.00000000e+00
9 1.08216076e+01 1.07611542e+01 3.44582275e-02 2.59950440e-02 0.00000000e+00
10 1.08108473e+01 1.06977673e+01 7.45495856e-02 3.85300927e-02 0.00000000e+00
11 1.00143518e+01 9.90907764e+00 8.95033851e-02 1.57709550e-02 0.00000000e+00
12 1.10264425e+01 1.08290443e+01 1.72002643e-01 2.53954958e-02 0.00000000e+00
13 9.62583351e+00 9.49517727e+00 1.09262988e-01 2.13932544e-02 0.00000000e+00
14 1.14655714e+01 1.13970156e+01 5.58343902e-02 1.27209304e-02 0.00000000e+00
15 1.02912664e+01 1.02636499e+01 2.00265739e-02 7.59049086e-03 0.00000000e+00
16 1.08441763e+01 1.08334522e+01 6.82675652e-03 3.89719894e-03 0.00000000e+00
17 1.05710316e+01 1.05623693e+01 7.28297839e-03 1.37913763e-03 0.00000000e+00
18 1.08393488e+01 1.08258972e+01 1.21339969e-02 1.31783402e-03 0.00000000e+00
19 1.08404799e+01 1.08277588e+01 1.16891908e-02 1.03158958e-03 0.00000000e+00
20 1.07211256e+01 1.07139902e+01 6.50916202e-03 6.26146095e-04 0.00000000e+00
21 1.08088083e+01 1.08063231e+01 2.21201289e-03 2.73514801e-04 0.00000000e+00
22 1.06661024e+01 1.06655512e+01 4.12447582e-04 1.39423515e-04 0.00000000e+00
23 1.06550531e+01 1.06540909e+01 8.06033611e-04 1.56536364e-04 0.00000000e+00
24 1.06954041e+01 1.06917992e+01 3.18789319e-03 4.16642608e-04 0.00000000e+00
25 1.08252020e+01 1.08169022e+01 7.30171101e-03 9.98468953e-04 0.00000000e+00
26 1.05712729e+01 1.05572090e+01 1.22592682e-02 1.80396950e-03 0.00000000e+00
27 1.06125860e+01 1.05905151e+01 1.87397879e-02 3.33082024e-03 0.00000000e+00
28 1.07750950e+01 1.07445049e+01 2.39849649e-02 6.60497742e-03 0.00000000e+00
29 1.08255110e+01 1.07819510e+01 3.30627970e-02 1.04973903e-02 0.00000000e+00
30 1.07298145e+01 1.06791019e+01 3.81736532e-02 1.25385951e-02 0.00000000e+00
31 1.08292370e+01 1.07801580e+01 3.65116782e-02 1.25679011e-02 0.00000000e+00
32 1.05983696e+01 1.05580826e+01 3.07316519e-02 9.55574214e-03 0.00000000e+00
33 1.06842184e+01 1.06536961e+01 2.36917250e-02 6.83033559e-03 0.00000000e+00
34 1.06704206e+01 1.06482353e+01 1.88823417e-02 3.30277788e-03 0.00000000e+00
35 1.08198967e+01 1.08052015e+01 1.29037360e-02 1.79113762e-03 0.00000000e+00
36 1.04379120e+01 1.04318695e+01 5.18292561e-03 8.58929590e-04 0.00000000e+00
37 9.65466309e+00 9.65143108e+00 2.72302027e-03 5.09727048e-04 0.00000000e+00
38 1.08480453e+01 1.08361216e+01 9.26873367e-03 2.65530800e-03 0.00000000e+00
39 1.09727850e+01 1.09511261e+01 1.66894719e-02 4.96972585e-03 0.00000000e+00
40 1.09728603e+01 1.09480963e+01 1.96431447e-02 5.12164133e-03 0.00000000e+00
41 1.09210072e+01 1.09062490e+01 1.19769657e-02 2.78072036e-03 0.00000000e+00
42 1.08066177e+01 1.08024387e+01 3.58652696e-03 5.92503755e-04 0.00000000e+00
43 9.65657139e+00 9.65448761e+00 1.56812277e-03 5.15952357e-04 0.00000000e+00
44 1.06074276e+01 1.05937090e+01 7.96359498e-03 5.75496908e-03 0.00000000e+00
