# step L_total L_int L_bdry L_orth L_gradation
68 1.05315294e+01 1.03647251e+01 1.17837280e-01 4.89675328e-02 0.00000000e+00
69 1.03906384e+01 1.02594538e+01 9.11109820e-02 4.00731526e-02 0.00000000e+00
70 1.03933868e+01 1.02911587e+01 6.91890866e-02 3.30389962e-02 0.00000000e+00
71 1.05497017e+01 1.04627018e+01 5.94107471e-02 2.75886171e-02 0.00000000e+00
72 1.02056923e+01 1.01273603e+01 5.47685176e-02 2.35633031e-02 0.00000000e+00
73 1.01591978e+01 1.00819283e+01 5.35002276e-02 2.37694290e-02 0.00000000e+00
74 1.03910532e+01 1.03065376e+01 5.81429526e-02 2.63733231e-02 0.00000000e+00
75 1.01907263e+01 1.00930014e+01 6.69577718e-02 3.07671819e-02 0.00000000e+00
76 1.05187674e+01 1.04033012e+01 8.20363685e-02 3.34303528e-02 0.00000000e+00
77 9.36894131e+00 9.24481678e+00 8.99483189e-02 3.41763198e-02 0.00000000e+00
78 1.06891041e+01 1.05320854e+01 1.12236500e-01 4.47828621e-02 0.00000000e+00
79 1.03745079e+01 1.02250090e+01 1.04195416e-01 4.53029387e-02 0.00000000e+00
80 1.05903559e+01 1.04551306e+01 9.92857218e-02 3.59388031e-02 0.00000000e+00
81 1.02246923e+01 1.01164131e+01 8.39238465e-02 2.43544765e-02 0.00000000e+00
82 9.76145649e+00 9.67152882e+00 7.32756332e-02 1.66525170e-02 0.00000000e+00
83 1.05125065e+01 1.04278755e+01 7.01538920e-02 1.44764073e-02 0.00000000e+00
84 1.06010942e+01 1.05187216e+01 6.81178644e-02 1.42543744e-02 0.00000000e+00
85 1.04710951e+01 1.03848534e+01 7.11802691e-02 1.50617221e-02 0.00000000e+00
86 1.04351740e+01 1.03407612e+01 7.76889771e-02 1.67233888e-02 0.00000000e+00
87 1.02993755e+01 1.01973448e+01 8.12742263e-02 2.07568426e-02 0.00000000e+00
88 1.01657696e+01 1.00486097e+01 8.99892002e-02 2.71703638e-02 0.00000000e+00
89 1.01780310e+01 1.00457268e+01 9.89444554e-02 3.33591625e-02 0.00000000e+00
90 9.82412243e+00 9.68012047e+00 1.05561554e-01 3.84408534e-02 0.00000000e+00
91 1.00847130e+01 9.92465496e+00 1.17201447e-01 4.28557619e-02 0.00000000e+00
92 1.06559296e+01 1.04905548e+01 1.20754585e-01 4.46202941e-02 0.00000000e+00
93 9.85338879e+00 9.69505405e+00 1.19293921e-01 3.90409753e-02 0.00000000e+00
94 9.97647572e+00 9.83959770e+00 1.06974423e-01 2.99035944e-02 0.00000000e+00
95 1.07354393e+01 1.06155806e+01 9.84954536e-02 2.13632379e-02 0.00000000e+00
96 1.07824640e+01 1.06764107e+01 9.11304727e-02 1.49227753e-02 0.00000000e+00
97 9.95639038e+00 9.86584854e+00 7.94755965e-02 1.10662598e-02 0.00000000e+00
98 9.51796627e+00 9.43648338e+00 6.98969960e-02 1.15858652e-02 0.00000000e+00
99 1.06231146e+01 1.05317039e+01 7.27993995e-02 1.86106190e-02 0.00000000e+00
100 9.95079041e+00 9.85459232e+00 6.96860701e-02 2.65121013e-02 0.00000000e+00
101 1.05585852e+01 1.04366674e+01 8.57185870e-02 3.62000093e-02 0.00000000e+00
102 9.68191147e+00 9.54641056e+00 9.30409953e-02 4.24596369e-02 0.00000000e+00
103 1.06170454e+01 1.04834518e+01 8.72109905e-02 4.63832095e-02 0.00000000e+00
104 1.04481936e+01 1.03108044e+01 9.04164091e-02 4.69732843e-02 0.00000000e+00
105 1.02516699e+01 1.01160116e+01 8.94214585e-02 4.62367423e-02 0.00000000e+00
106 1.02870274e+01 1.01518049e+01 8.79894346e-02 4.72323522e-02 0.00000000e+00
107 1.04220324e+01 1.02898359e+01 8.43237042e-02 4.78724577e-02 0.00000000e+00
108 1.04418306e+01 1.03069983e+01 8.67706686e-02 4.80614640e-02 0.00000000e+00
109 1.05730047e+01 1.04338627e+01 8.79494101e-02 5.11922352e-02 0.00000000e+00
110 1.03770342e+01 1.02293110e+01 9.53811258e-02 5.23423776e-02 0.00000000e+00
111 1.02731209e+01 1.01162663e+01 1.06182173e-01 5.06728180e-02 0.00000000e+00
112 1.06485491e+01 1.04852123e+01 1.22062571e-01 4.12744582e-02 0.00000000e+00
113 1.02298708e+01 1.00740862e+01 1.23444937e-01 3.23396102e-02 0.00000000e+00
114 9.92150211e+00 9.76606083e+00 1.27637610e-01 2.78029498e-02 0.00000000e+00
115 1.05791950e+01 1.04414263e+01 1.11768901e-01 2.60002520e-02 0.00000000e+00
116 9.93635178e+00 9.81039810e+00 1.02494471e-01 2.34589726e-02 0.00000000e+00
117 9.37802124e+00 9.26989365e+00 8.37638378e-02 2.43633334e-02 0.00000000e+00
118 9.02833652e+00 8.91157627e+00 8.40736553e-02 3.26862894e-02 0.00000000e+00
119 1.14837294e+01 1.13489313e+01 9.02863741e-02 4.45116013e-02 0.00000000e+00
