# step L_total L_int L_bdry L_orth L_gradation
1 1.58243239e+00 1.58243239e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2 1.52771223e+00 1.52755225e+00 1.47640254e-04 1.24510607e-05 0.00000000e+00
3 1.34336483e+00 1.34162474e+00 1.58147956e-03 1.58641255e-04 0.00000000e+00
4 1.09536743e+00 1.08733404e+00 6.95713190e-03 1.07624801e-03 0.00000000e+00
5 9.52199757e-01 9.26096082e-01 2.05898881e-02 5.51380869e-03 0.00000000e+00
6 1.06798375e+00 1.00144613e+00 3.35614234e-02 3.29761729e-02 0.00000000e+00
7 1.08134282e+00 9.93300796e-01 3.66745070e-02 5.13675697e-02 0.00000000e+00
8 9.99229193e-01 9.46770549e-01 3.25306356e-02 1.99279673e-02 0.00000000e+00
9 9.24819291e-01 8.93944144e-01 2.24933531e-02 8.38181190e-03 0.00000000e+00
10 9.48427439e-01 9.28600192e-01 1.61670819e-02 3.66011355e-03 0.00000000e+00
11 9.83808041e-01 9.68507826e-01 1.26801813e-02 2.62003322e-03 0.00000000e+00
12 9.68055487e-01 9.52871561e-01 1.25397081e-02 2.64426135e-03 0.00000000e+00
13 9.19708431e-01 9.00840044e-01 1.58218108e-02 3.04655009e-03 0.00000000e+00
14 8.98326457e-01 8.75220299e-01 1.93453934e-02 3.76076950e-03 0.00000000e+00
15 9.04352844e-01 8.73898268e-01 2.59924792e-02 4.46210708e-03 0.00000000e+00
16 9.33312178e-01 8.93554628e-01 3.43697928e-02 5.38775418e-03 0.00000000e+00
17 9.25071776e-01 8.82083058e-01 3.75824980e-02 5.40621113e-03 0.00000000e+00
18 8.95751834e-01 8.49623680e-01 4.06230092e-02 5.50515531e-03 0.00000000e+00
19 8.70957315e-01 8.25706959e-01 4.02774476e-02 4.97292541e-03 0.00000000e+00
20 8.43475640e-01 8.03688288e-01 3.45745794e-02 5.21276705e-03 0.00000000e+00
21 8.53562474e-01 8.13213587e-01 3.46262604e-02 5.72263310e-03 0.00000000e+00
22 8.48178566e-01 8.08775246e-01 3.31384130e-02 6.26491010e-03 0.00000000e+00
23 8.31408501e-01 7.83964276e-01 4.03037518e-02 7.14044413e-03 0.00000000e+00
24 8.11145067e-01 7.55004525e-01 4.82893437e-02 7.85119087e-03 0.00000000e+00
25 7.80131102e-01 7.15079486e-01 5.59332371e-02 9.11839213e-03 0.00000000e+00
26 7.59600401e-01 6.67713046e-01 8.04416537e-02 1.14457021e-02 0.00000000e+00
27 7.19011188e-01 6.34260118e-01 7.13440776e-02 1.34069752e-02 0.00000000e+00
28 6.85256422e-01 6.02265120e-01 6.80414587e-02 1.49498684e-02 0.00000000e+00
29 6.52624369e-01 5.82266510e-01 5.54880649e-02 1.48698138e-02 0.00000000e+00
30 6.45497799e-01 5.95339775e-01 3.87188718e-02 1.14391185e-02 0.00000000e+00
31 6.25951111e-01 5.83690882e-01 3.31098735e-02 9.15033929e-03 0.00000000e+00
32 6.25079513e-01 5.75289905e-01 4.05326523e-02 9.25693940e-03 0.00000000e+00
33 6.40581965e-01 5.88333488e-01 4.30126116e-02 9.23585147e-03 0.00000000e+00
34 6.42300308e-01 5.88767827e-01 4.45727110e-02 8.95977300e-03 0.00000000e+00
35 6.12577617e-01 5.71854770e-01 3.32377106e-02 7.48517644e-03 0.00000000e+00
36 6.11162186e-01 5.77652037e-01 2.85249185e-02 4.98523749e-03 0.00000000e+00
37 5.76795876e-01 5.44489026e-01 2.79552452e-02 4.35158936e-03 0.00000000e+00
38 5.61761498e-01 5.26430368e-01 2.99149249e-02 5.41623868e-03 0.00000000e+00
39 5.41505218e-01 5.04713774e-01 3.11697721e-02 5.62166842e-03 0.00000000e+00
40 5.45463502e-01 5.05894303e-01 3.33211385e-02 6.24804106e-03 0.00000000e+00
41 5.37281930e-01 4.98573571e-01 3.12512778e-02 7.45705469e-03 0.00000000e+00
42 5.34374177e-01 4.96948272e-01 2.95905415e-02 7.83539750e-03 0.00000000e+00
43 5.17658472e-01 4.81253803e-01 2.95552686e-02 6.84943004e-03 0.00000000e+00
44 5.10855734e-01 4.77830291e-01 2.64183786e-02 6.60707382e-03 0.00000000e+00
45 5.13424158e-01 4.77512568e-01 2.84723248e-02 7.43923662e-03 0.00000000e+00
46 5.12281716e-01 4.79820848e-01 2.52084956e-02 7.25241937e-03 0.00000000e+00
47 5.07959008e-01 4.78322804e-01 2.33196039e-02 6.31657848e-03 0.00000000e+00
48 5.03708720e-01 4.72011209e-01 2.52845585e-02 6.41293358e-03 0.00000000e+00
49 4.94164675e-01 4.59816039e-01 2.64534615e-02 7.89518468e-03 0.00000000e+00
50 4.93776441e-01 4.49676782e-01 3.40001844e-02 1.00994678e-02 0.00000000e+00
51 4.84741092e-01 4.39573020e-01 3.39309946e-02 1.12370756e-02 0.00000000e+00
52 4.91849661e-01 4.47456747e-01 3.37211750e-02 1.06717441e-02 0.00000000e+00
53 4.79040861e-01 4.43675727e-01 2.83940677e-02 6.97106589e-03 0.00000000e+00
54 4.84853625e-01 4.47939932e-01 3.11659798e-02 5.74770663e-03 0.00000000e+00
55 4.79014546e-01 4.38477218e-01 3.43718715e-02 6.16544578e-03 0.00000000e+00
56 4.80498016e-01 4.40604329e-01 3.40486579e-02 5.84504055e-03 0.00000000e+00
57 4.60033864e-01 4.24407125e-01 2.93999109e-02 6.22683531e-03 0.00000000e+00
58 4.67055947e-01 4.30778950e-01 2.83397250e-02 7.93729350e-03 0.00000000e+00
59 4.59458590e-01 4.19518292e-01 3.01928706e-02 9.74743068e-03 0.00000000e+00
60 4.55622643e-01 4.15989161e-01 2.97912322e-02 9.84223839e-03 0.00000000e+00
61 4.57128406e-01 4.16038692e-01 3.25958133e-02 8.49389192e-03 0.00000000e+00
62 4.56102014e-01 4.16159898e-01 3.27091850e-02 7.23294634e-03 0.00000000e+00
63 4.49015290e-01 4.14281905e-01 2.85523776e-02 6.18100353e-03 0.00000000e+00
64 4.45678055e-01 4.11192477e-01 2.86638495e-02 5.82173839e-03 0.00000000e+00
65 4.46731508e-01 4.09567416e-01 3.05702593e-02 6.59381831e-03 0.00000000e+00
66 4.47843850e-01 4.06812161e-01 3.42614502e-02 6.77026389e-03 0.00000000e+00
67 4.44211543e-01 4.05238718e-01 3.30626033e-02 5.91021497e-03 0.00000000e+00
68 4.46544558e-01 4.09093887e-01 3.24167497e-02 5.03391214e-03 0.00000000e+00
69 4.30402994e-01 3.93704891e-01 3.21793891e-02 4.51871706e-03 0.00000000e+00
70 4.30250943e-01 3.94465327e-01 3.16866525e-02 4.09894204e-03 0.00000000e+00
71 4.32833016e-01 3.99725705e-01 2.85813306e-02 4.52598929e-03 0.00000000e+00
72 4.32838738e-01 3.99888963e-01 2.84435637e-02 4.50620241e-03 0.00000000e+00
73 4.36155170e-01 4.02079254e-01 3.03215943e-02 3.75431357e-03 0.00000000e+00
74 4.29828078e-01 4.00814474e-01 2.59926561e-02 3.02095269e-03 0.00000000e+00
75 4.29627985e-01 3.98059040e-01 2.81995293e-02 3.36943264e-03 0.00000000e+00
