# step L_int L_bdry L_orth
480 8.87461156e-02 1.35810010e-03 3.86031270e-02
481 8.72564465e-02 1.46346982e-03 3.88559662e-02
482 8.86398777e-02 1.49716844e-03 3.88469920e-02
483 8.80095661e-02 1.56960334e-03 3.87579985e-02
484 8.82451534e-02 1.49997906e-03 3.93619649e-02
485 8.77908841e-02 1.50046893e-03 4.04716469e-02
486 8.79649445e-02 1.37254922e-03 3.97219285e-02
487 8.73693675e-02 1.37033791e-03 3.87823731e-02
488 8.76506940e-02 1.30193960e-03 3.88432965e-02
489 8.80763531e-02 1.38960662e-03 3.96026447e-02
490 8.95726308e-02 1.36012095e-03 3.91390622e-02
491 8.70156363e-02 1.38578424e-03 3.99274155e-02
492 8.72628912e-02 1.24311005e-03 3.98611873e-02
493 8.88393298e-02 1.36725721e-03 3.85719091e-02
494 8.70954543e-02 1.42202573e-03 4.01407778e-02
495 8.64956975e-02 1.45139464e-03 3.90129462e-02
496 8.74789432e-02 1.40296435e-03 3.88544910e-02
497 8.87257457e-02 1.42745883e-03 3.84676494e-02
498 8.76276791e-02 1.39919156e-03 3.94830778e-02
499 8.65415633e-02 1.45825080e-03 3.98691446e-02
500 8.78080428e-02 1.33787887e-03 3.84804904e-02
