# step L_total L_int L_bdry L_orth L_gradation
1 1.06078339e+01 1.06078339e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2 1.05574141e+01 1.05572901e+01 9.66627267e-05 2.80035565e-05 0.00000000e+00
3 1.03803997e+01 1.03791723e+01 1.04113796e-03 1.86129808e-04 0.00000000e+00
4 1.02212439e+01 1.02150993e+01 5.00938762e-03 1.13486242e-03 0.00000000e+00
5 1.01031075e+01 1.00800495e+01 1.73376855e-02 5.71980048e-03 0.00000000e+00
6 9.54059315e+00 9.51006413e+00 2.08649356e-02 9.66493227e-03 0.00000000e+00
7 1.09857178e+01 1.09378729e+01 2.75248829e-02 2.03196835e-02 0.00000000e+00
8 9.24555111e+00 9.21173763e+00 1.80875342e-02 1.57256909e-02 0.00000000e+00
9 9.29852772e+00 9.26717949e+00 1.77941378e-02 1.35538373e-02 0.00000000e+00
10 9.82395840e+00 9.78819752e+00 2.06336565e-02 1.51274186e-02 0.00000000e+00
11 9.11664963e+00 9.07250500e+00 2.54608020e-02 1.86833851e-02 0.00000000e+00
12 1.07930288e+01 1.07315884e+01 3.17160375e-02 2.97239870e-02 0.00000000e+00
13 9.27478313e+00 9.22353363e+00 2.69661322e-02 2.42835339e-02 0.00000000e+00
14 1.07637348e+01 1.07153654e+01 2.40841880e-02 2.42855195e-02 0.00000000e+00
15 1.01976118e+01 1.01625423e+01 1.57034937e-02 1.93667039e-02 0.00000000e+00
16 9.81782818e+00 9.79783726e+00 1.03687635e-02 9.62283462e-03 0.00000000e+00
17 9.65427685e+00 9.64332294e+00 6.71959715e-03 4.23391908e-03 0.00000000e+00
18 1.00706081e+01 1.00624599e+01 6.71861088e-03 1.42926839e-03 0.00000000e+00
19 9.28762627e+00 9.27794266e+00 8.74230545e-03 9.41040111e-04 0.00000000e+00
20 1.10433521e+01 1.10281401e+01 1.34501271e-02 1.76255777e-03 0.00000000e+00
21 1.11727247e+01 1.11556559e+01 1.50487004e-02 2.01951829e-03 0.00000000e+00
22 1.08046370e+01 1.07915096e+01 1.16294082e-02 1.49778696e-03 0.00000000e+00
23 1.04904127e+01 1.04813614e+01 8.09313636e-03 9.57984652e-04 0.00000000e+00
24 1.00953941e+01 1.00890732e+01 5.80435526e-03 5.17267967e-04 0.00000000e+00
25 1.04921856e+01 1.04880943e+01 3.75779904e-03 3.33927048e-04 0.00000000e+00
26 1.04525909e+01 1.04491673e+01 3.08579765e-03 3.37997597e-04 0.00000000e+00
27 9.97933006e+00 9.97622776e+00 2.61919294e-03 4.83372714e-04 0.00000000e+00
28 1.03794889e+01 1.03758955e+01 2.87004584e-03 7.24188401e-04 0.00000000e+00
29 1.01560316e+01 1.01518011e+01 3.19463527e-03 1.03564886e-03 0.00000000e+00
30 1.01689129e+01 1.01636877e+01 3.71593260e-03 1.50995154e-03 0.00000000e+00
31 1.03767967e+01 1.03692875e+01 5.38208429e-03 2.12690746e-03 0.00000000e+00
32 1.01797886e+01 1.01709137e+01 6.05208566e-03 2.82307807e-03 0.00000000e+00
33 1.02253199e+01 1.02139320e+01 7.79084582e-03 3.59686487e-03 0.00000000e+00
34 1.02249842e+01 1.02105246e+01 9.90288891e-03 4.55665495e-03 0.00000000e+00
35 9.83134079e+00 9.81428909e+00 1.15092061e-02 5.54304849e-03 0.00000000e+00
36 1.00381422e+01 1.00178595e+01 1.34579102e-02 6.82425871e-03 0.00000000e+00
37 1.02964668e+01 1.02737350e+01 1.51158068e-02 7.61603564e-03 0.00000000e+00
38 1.00208092e+01 9.99835491e+00 1.47737563e-02 7.68064568e-03 0.00000000e+00
39 9.92338371e+00 9.90163422e+00 1.43893287e-02 7.36015989e-03 0.00000000e+00
40 9.99278545e+00 9.97244453e+00 1.40105616e-02 6.33073784e-03 0.00000000e+00
41 1.01578770e+01 1.01383934e+01 1.37900291e-02 5.69316838e-03 0.00000000e+00
42 9.89292908e+00 9.87543106e+00 1.21416915e-02 5.35725057e-03 0.00000000e+00
43 1.01337461e+01 1.01159668e+01 1.27110574e-02 5.06773591e-03 0.00000000e+00
44 1.01187944e+01 1.01011877e+01 1.27235129e-02 4.88317525e-03 0.00000000e+00
45 1.01789160e+01 1.01609573e+01 1.32986493e-02 4.66004852e-03 0.00000000e+00
46 1.05613432e+01 1.05442448e+01 1.27360765e-02 4.36224230e-03 0.00000000e+00
47 9.98665524e+00 9.96918869e+00 1.36767020e-02 3.78948520e-03 0.00000000e+00
48 1.00848980e+01 1.00647011e+01 1.58047117e-02 4.39215126e-03 0.00000000e+00
49 1.06494350e+01 1.06266899e+01 1.78618599e-02 4.88293683e-03 0.00000000e+00
50 9.46491337e+00 9.44098854e+00 1.93509515e-02 4.57420992e-03 0.00000000e+00
51 1.03300953e+01 1.03020611e+01 2.24772412e-02 5.55665651e-03 0.00000000e+00
52 1.05646219e+01 1.05360851e+01 2.29951013e-02 5.54174092e-03 0.00000000e+00
53 1.02016630e+01 1.01776114e+01 1.94150601e-02 4.63703461e-03 0.00000000e+00
54 1.00957918e+01 1.00771122e+01 1.49657521e-02 3.71386064e-03 0.00000000e+00
55 1.01051922e+01 1.00899067e+01 1.20731732e-02 3.21243121e-03 0.00000000e+00
56 1.00501995e+01 1.00375214e+01 9.71819367e-03 2.96006561e-03 0.00000000e+00
57 1.01356373e+01 1.01243887e+01 8.39523599e-03 2.85301870e-03 0.00000000e+00
58 1.02849894e+01 1.02726955e+01 9.32601281e-03 2.96744471e-03 0.00000000e+00
59 1.01948366e+01 1.01825542e+01 9.22331307e-03 3.05912341e-03 0.00000000e+00
60 1.04542503e+01 1.04428740e+01 8.96992907e-03 2.40637455e-03 0.00000000e+00
61 1.04178972e+01 1.04063406e+01 9.75382514e-03 1.80241698e-03 0.00000000e+00
62 1.04497833e+01 1.04381676e+01 1.01887966e-02 1.42709631e-03 0.00000000e+00
63 9.81704807e+00 9.80561447e+00 1.03226872e-02 1.11134234e-03 0.00000000e+00
64 1.03791590e+01 1.03662710e+01 1.18461596e-02 1.04138604e-03 0.00000000e+00
65 1.03837833e+01 1.03687248e+01 1.37076611e-02 1.35020493e-03 0.00000000e+00
66 9.17806625e+00 9.15993023e+00 1.62088908e-02 1.92707009e-03 0.00000000e+00
67 9.20709705e+00 9.18149090e+00 2.15708762e-02 4.03516274e-03 0.00000000e+00
68 9.46113968e+00 9.41743088e+00 3.51453051e-02 8.56274180e-03 0.00000000e+00
69 1.13385963e+01 1.12798767e+01 4.77433689e-02 1.09758656e-02 0.00000000e+00
70 1.06413260e+01 1.06032915e+01 3.32805514e-02 4.75411769e-03 0.00000000e+00
71 1.00412025e+01 1.00137482e+01 2.51922999e-02 2.26246449e-03 0.00000000e+00
72 1.00650940e+01 1.00417480e+01 2.10069045e-02 2.33962224e-03 0.00000000e+00
73 1.02104177e+01 1.01848269e+01 2.11209562e-02 4.47030831e-03 0.00000000e+00
74 1.00746441e+01 1.00437794e+01 2.34495662e-02 7.41503062e-03 0.00000000e+00
75 1.02778759e+01 1.02409544e+01 2.61267107e-02 1.07946014e-02 0.00000000e+00
76 1.03678026e+01 1.03265085e+01 2.81125084e-02 1.31817702e-02 0.00000000e+00
77 1.01701069e+01 1.01278400e+01 2.76946016e-02 1.45723708e-02 0.00000000e+00
78 1.02062130e+01 1.01629257e+01 2.81584859e-02 1.51289459e-02 0.00000000e+00
79 1.01335125e+01 1.00943365e+01 2.50622239e-02 1.41130108e-02 0.00000000e+00
80 1.00316792e+01 9.99607849e+00 2.32080258e-02 1.23928832e-02 0.00000000e+00
81 9.83643532e+00 9.80402756e+00 2.19320301e-02 1.04757110e-02 0.00000000e+00
82 9.52809620e+00 9.49885750e+00 2.03763675e-02 8.86203907e-03 0.00000000e+00
83 9.11964989e+00 9.08751106e+00 2.30225213e-02 9.11620632e-03 0.00000000e+00
84 2.81728725e+01 2.81403408e+01 2.47940887e-02 7.73751223e-03 0.00000000e+00
85 1.03096676e+01 1.02940893e+01 1.27850873e-02 2.79365946e-03 0.00000000e+00
86 1.01489658e+01 1.01411486e+01 6.91653509e-03 8.99837702e-04 0.00000000e+00
87 1.04551048e+01 1.04510145e+01 3.74445412e-03 3.46559624e-04 0.00000000e+00
88 1.05571060e+01 1.05548353e+01 2.05728132e-03 2.13500665e-04 0.00000000e+00
89 1.05351009e+01 1.05336170e+01 1.30319968e-03 1.80401606e-04 0.00000000e+00
90 1.06293736e+01 1.06284161e+01 7.87226949e-04 1.70929430e-04 0.00000000e+00
91 1.05878334e+01 1.05870352e+01 6.22114749e-04 1.76083850e-04 0.00000000e+00
92 1.06853647e+01 1.06845751e+01 5.95628400e-04 1.93189961e-04 0.00000000e+00
93 1.06144924e+01 1.06136379e+01 6.31883682e-04 2.22484814e-04 0.00000000e+00
94 1.05923262e+01 1.05913649e+01 6.95453782e-04 2.66195129e-04 0.00000000e+00
95 1.06925497e+01 1.06914568e+01 7.68447469e-04 3.24057590e-04 0.00000000e+00
96 1.05726709e+01 1.05714025e+01 8.86956230e-04 3.81169026e-04 0.00000000e+00
97 1.06398678e+01 1.06384506e+01 9.56457458e-04 4.60492127e-04 0.00000000e+00
98 1.05487480e+01 1.05472708e+01 9.32039984e-04 5.45239483e-04 0.00000000e+00
99 1.07245350e+01 1.07226219e+01 1.19676394e-03 7.16620125e-04 0.00000000e+00
100 1.06128492e+01 1.06106014e+01 1.38569390e-03 8.62452085e-04 0.00000000e+00
101 1.04984684e+01 1.04959412e+01 1.50272262e-03 1.02423551e-03 0.00000000e+00
102 1.05693130e+01 1.05663033e+01 1.77512167e-03 1.23470579e-03 0.00000000e+00
103 1.05658369e+01 1.05623140e+01 2.09854264e-03 1.42489292e-03 0.00000000e+00
104 1.05925102e+01 1.05885859e+01 2.29656277e-03 1.62809866e-03 0.00000000e+00
105 1.03998318e+01 1.03952141e+01 2.77602044e-03 1.84130867e-03 0.00000000e+00
106 1.06297588e+01 1.06241693e+01 3.34395748e-03 2.24628253e-03 0.00000000e+00
107 1.05743361e+01 1.05677938e+01 4.00220929e-03 2.53996206e-03 0.00000000e+00
108 1.04271927e+01 1.04201040e+01 4.31459211e-03 2.77429307e-03 0.00000000e+00
109 1.06793394e+01 1.06715450e+01 4.81293723e-03 2.98085739e-03 0.00000000e+00
110 1.05100660e+01 1.05018291e+01 5.22974785e-03 3.00666876e-03 0.00000000e+00
111 1.05768805e+01 1.05685596e+01 5.30987512e-03 3.01041035e-03 0.00000000e+00
112 1.06904573e+01 1.06825066e+01 5.05856145e-03 2.89255450e-03 0.00000000e+00
113 1.03692770e+01 1.03619041e+01 4.83509665e-03 2.53782468e-03 0.00000000e+00
114 1.04955597e+01 1.04887943e+01 4.53774445e-03 2.22775713e-03 0.00000000e+00
115 1.05039034e+01 1.04977093e+01 4.30130959e-03 1.89306075e-03 0.00000000e+00
116 1.05203476e+01 1.05151787e+01 3.68316984e-03 1.48571935e-03 0.00000000e+00
117 1.05005274e+01 1.04964409e+01 3.01890634e-03 1.06746610e-03 0.00000000e+00
118 1.04213343e+01 1.04184837e+01 2.18356331e-03 6.66210661e-04 0.00000000e+00
119 1.04567060e+01 1.04544897e+01 1.80763216e-03 4.09406755e-04 0.00000000e+00
120 1.03765020e+01 1.03746071e+01 1.60475262e-03 2.90193653e-04 0.00000000e+00
121 1.04343081e+01 1.04324160e+01 1.62978133e-03 2.62354442e-04 0.00000000e+00
122 1.03792000e+01 1.03771057e+01 1.78605341e-03 3.07786191e-04 0.00000000e+00
123 1.03403139e+01 1.03380098e+01 1.93738088e-03 3.67527478e-04 0.00000000e+00
124 1.04151049e+01 1.04124994e+01 2.18693353e-03 4.18775482e-04 0.00000000e+00
125 1.03585997e+01 1.03559113e+01 2.19735363e-03 4.90950013e-04 0.00000000e+00
126 1.03993683e+01 1.03964405e+01 2.41702236e-03 5.11436956e-04 0.00000000e+00
127 1.03296709e+01 1.03265066e+01 2.65235081e-03 5.12263039e-04 0.00000000e+00
128 1.04005022e+01 1.03971376e+01 2.87889922e-03 4.85554338e-04 0.00000000e+00
129 1.03685093e+01 1.03648758e+01 3.13568395e-03 4.98000998e-04 0.00000000e+00
130 1.03019686e+01 1.02980394e+01 3.39673809e-03 5.31978381e-04 0.00000000e+00
131 1.02018232e+01 1.01970072e+01 4.25115414e-03 5.64459246e-04 0.00000000e+00
132 1.02175789e+01 1.02122707e+01 4.67044814e-03 6.37633726e-04 0.00000000e+00
133 1.02777138e+01 1.02717466e+01 5.25664259e-03 7.10058725e-04 0.00000000e+00
134 1.04184608e+01 1.04111729e+01 6.48162607e-03 8.06575059e-04 0.00000000e+00
135 9.35655689e+00 9.34818268e+00 7.43539538e-03 9.38218844e-04 0.00000000e+00
136 1.02997704e+01 1.02894039e+01 9.18976683e-03 1.17649231e-03 0.00000000e+00
137 9.72971249e+00 9.71696091e+00 1.12520708e-02 1.49933517e-03 0.00000000e+00
138 1.02805672e+01 1.02642746e+01 1.43977506e-02 1.89499720e-03 0.00000000e+00
