# step L_total L_int L_bdry L_orth
84 1.99379444e-01 1.85034633e-01 6.07986050e-03 8.26493744e-03
85 2.01674968e-01 1.85937077e-01 6.96987100e-03 8.76801927e-03
86 2.03530878e-01 1.88982084e-01 6.09603105e-03 8.45276378e-03
87 2.09946826e-01 1.92474812e-01 8.04227497e-03 9.42973234e-03
88 2.07419053e-01 1.92865282e-01 5.93047775e-03 8.62328522e-03
89 1.98258072e-01 1.82480887e-01 6.58653863e-03 9.19064693e-03
90 1.99180841e-01 1.82629794e-01 6.87804911e-03 9.67299938e-03
91 2.08315954e-01 1.93053499e-01 6.11602375e-03 9.14644077e-03
92 1.98654413e-01 1.81886226e-01 7.04367738e-03 9.72451828e-03
93 1.95297465e-01 1.78342655e-01 7.06969388e-03 9.88512207e-03
94 2.01756015e-01 1.85362756e-01 6.67045917e-03 9.72280093e-03
95 1.97564498e-01 1.80119514e-01 7.27282045e-03 1.01721548e-02
96 1.97169617e-01 1.79274216e-01 7.56496936e-03 1.03304256e-02
97 1.96797892e-01 1.79933801e-01 6.86326157e-03 1.00008249e-02
98 2.00430453e-01 1.82200715e-01 7.63634546e-03 1.05934031e-02
99 1.99196965e-01 1.82199553e-01 6.73337793e-03 1.02640335e-02
100 1.95882559e-01 1.77661359e-01 7.35643646e-03 1.08647719e-02
101 1.93792090e-01 1.77073449e-01 5.93669200e-03 1.07819466e-02
102 1.97309643e-01 1.79761291e-01 6.74215145e-03 1.08061954e-02
103 1.92884371e-01 1.74961925e-01 7.15605635e-03 1.07663833e-02
104 1.99912548e-01 1.82463646e-01 6.60534669e-03 1.08435592e-02
105 1.91794500e-01 1.74234793e-01 6.34533074e-03 1.12143755e-02
106 1.89782247e-01 1.71806261e-01 6.72437157e-03 1.12516144e-02
107 1.94651574e-01 1.76836118e-01 7.02709332e-03 1.07883625e-02
108 1.91827551e-01 1.73960418e-01 6.67857658e-03 1.11885536e-02
109 1.96208224e-01 1.77240431e-01 7.19032157e-03 1.17774718e-02
110 2.00046241e-01 1.82075232e-01 6.41062576e-03 1.15603730e-02
111 1.93195403e-01 1.75033495e-01 6.39040116e-03 1.17715076e-02
112 2.04716936e-01 1.84207797e-01 7.32041756e-03 1.31887197e-02
113 1.98684379e-01 1.80633172e-01 6.11955626e-03 1.19316587e-02
114 1.97653830e-01 1.78990096e-01 6.45081559e-03 1.22129098e-02
115 1.93040401e-01 1.73240185e-01 7.03389291e-03 1.27663091e-02
116 1.99524820e-01 1.80903181e-01 6.35384349e-03 1.22678028e-02
117 1.95843384e-01 1.76777303e-01 6.53379131e-03 1.25322910e-02
118 1.92358330e-01 1.74415007e-01 6.00450067e-03 1.19388197e-02
119 1.92360967e-01 1.73970640e-01 6.17901143e-03 1.22113172e-02
120 1.95159122e-01 1.75429344e-01 7.22026732e-03 1.25095118e-02
121 1.93074852e-01 1.75440520e-01 5.73768653e-03 1.18966335e-02
122 1.90642998e-01 1.72309399e-01 6.10623695e-03 1.22273620e-02
123 1.94340736e-01 1.74748614e-01 6.64241053e-03 1.29496977e-02
124 2.00384483e-01 1.81973249e-01 5.78833232e-03 1.26229040e-02
125 1.90336511e-01 1.71732426e-01 6.33630715e-03 1.22677777e-02
126 1.92658246e-01 1.73483416e-01 6.19803742e-03 1.29767945e-02
127 1.92124411e-01 1.73724368e-01 5.92491962e-03 1.24751171e-02
128 1.95078060e-01 1.75314754e-01 6.57841470e-03 1.31848920e-02
129 1.89126447e-01 1.69217154e-01 6.82735536e-03 1.30819334e-02
130 1.92149743e-01 1.72826588e-01 6.04940951e-03 1.32737411e-02
131 1.92250520e-01 1.71528339e-01 6.91904873e-03 1.38031282e-02
132 1.86788946e-01 1.66722119e-01 6.50969613e-03 1.35571361e-02
133 1.93205550e-01 1.73502803e-01 6.29769918e-03 1.34050567e-02
134 1.90377101e-01 1.69784456e-01 6.85430970e-03 1.37383286e-02
135 1.90857723e-01 1.70323223e-01 6.54495321e-03 1.39895556e-02
136 1.88108206e-01 1.67811677e-01 6.31866883e-03 1.39778480e-02
137 1.97078854e-01 1.76014215e-01 6.84628077e-03 1.42183527e-02
138 1.95045039e-01 1.74993038e-01 6.29771035e-03 1.37542970e-02
139 1.88223362e-01 1.68001816e-01 6.46266434e-03 1.37588773e-02
140 1.90122992e-01 1.69174626e-01 6.86453469e-03 1.40838288e-02
141 1.92171693e-01 1.72533289e-01 6.01218687e-03 1.36262160e-02
142 1.90361440e-01 1.69465140e-01 6.79864362e-03 1.40976561e-02
143 1.86188310e-01 1.65812939e-01 6.83177821e-03 1.35435974e-02
144 1.89677805e-01 1.69112727e-01 6.45539723e-03 1.41096804e-02
145 1.86145812e-01 1.65066928e-01 6.64227968e-03 1.44365979e-02
146 1.85082182e-01 1.63914040e-01 6.65120129e-03 1.45169403e-02
147 1.91844463e-01 1.70818165e-01 6.74560992e-03 1.42806862e-02
148 1.90568805e-01 1.67901114e-01 7.37253111e-03 1.52951591e-02
149 1.85424060e-01 1.63873151e-01 6.51342422e-03 1.50374779e-02
150 1.82991207e-01 1.60756856e-01 7.02982210e-03 1.52045414e-02
151 1.84884399e-01 1.62346512e-01 6.65125670e-03 1.58866346e-02
152 1.88495666e-01 1.66229993e-01 6.95244735e-03 1.53132267e-02
153 1.86964393e-01 1.63854897e-01 6.84506074e-03 1.62644424e-02
154 1.85149536e-01 1.62079543e-01 7.56632118e-03 1.55036738e-02
155 1.84707001e-01 1.63108379e-01 6.59144670e-03 1.50071839e-02
156 1.85758844e-01 1.63484663e-01 7.08704349e-03 1.51871415e-02
157 1.85627252e-01 1.63991436e-01 6.51516113e-03 1.51206562e-02
158 1.85525730e-01 1.63581163e-01 6.68281969e-03 1.52617516e-02
159 1.89108446e-01 1.66108549e-01 6.89520594e-03 1.61046982e-02
160 1.84641674e-01 1.62174836e-01 6.59000268e-03 1.58768259e-02
161 1.84564039e-01 1.60974890e-01 7.16364617e-03 1.64255053e-02
162 1.86307117e-01 1.62658259e-01 7.70943752e-03 1.59394126e-02
163 1.82164043e-01 1.60495698e-01 6.50305534e-03 1.51652833e-02
164 1.83149233e-01 1.60511494e-01 6.71872217e-03 1.59190111e-02
165 1.83597311e-01 1.60619810e-01 6.58420287e-03 1.63933076e-02
166 1.82645544e-01 1.59753740e-01 6.60607219e-03 1.62857287e-02
167 1.85552150e-01 1.62308499e-01 6.77615684e-03 1.64675023e-02
168 1.85525775e-01 1.62316829e-01 7.31350016e-03 1.58954337e-02
169 1.83506668e-01 1.60634726e-01 6.45763334e-03 1.64143182e-02
170 1.84185326e-01 1.60940364e-01 6.55036513e-03 1.66945849e-02
171 1.83859333e-01 1.60477594e-01 6.64939545e-03 1.67323500e-02
172 1.83819920e-01 1.60929412e-01 6.77552773e-03 1.61149800e-02
173 1.84434399e-01 1.60444960e-01 6.85327966e-03 1.71361547e-02
174 1.79437160e-01 1.55655399e-01 6.63001696e-03 1.71517506e-02
175 1.81480557e-01 1.57907486e-01 6.42534252e-03 1.71477348e-02
176 1.83790326e-01 1.60476655e-01 6.39199512e-03 1.69216674e-02
177 1.82840914e-01 1.60173789e-01 6.18386641e-03 1.64832622e-02
178 1.78705573e-01 1.55041680e-01 6.81559369e-03 1.68482959e-02
179 1.80370972e-01 1.55809298e-01 6.79360051e-03 1.77680664e-02
180 1.83146298e-01 1.58873811e-01 7.03960378e-03 1.72328856e-02
181 1.78012922e-01 1.54745132e-01 6.39760261e-03 1.68701913e-02
182 1.84933007e-01 1.60892010e-01 6.64301822e-03 1.73979774e-02
