# step L_total L_int L_bdry L_orth
367 1.42678231e-01 1.06842570e-01 3.38077685e-03 3.24548855e-02
368 1.42500788e-01 1.07341200e-01 3.23194405e-03 3.19276527e-02
369 1.42269686e-01 1.07013665e-01 3.10000777e-03 3.21560130e-02
370 1.40787169e-01 1.04855090e-01 2.97640683e-03 3.29556689e-02
371 1.43267304e-01 1.07733257e-01 3.41401063e-03 3.21200341e-02
372 1.39456540e-01 1.03875443e-01 3.21122049e-03 3.23698819e-02
373 1.42517939e-01 1.07217848e-01 2.98605580e-03 3.23140360e-02
374 1.42657369e-01 1.06852084e-01 3.25674261e-03 3.25485393e-02
375 1.42243698e-01 1.06222086e-01 3.22293863e-03 3.27986777e-02
376 1.41622707e-01 1.05992012e-01 3.22596636e-03 3.24047282e-02
377 1.41565442e-01 1.04358345e-01 3.45554994e-03 3.37515399e-02
378 1.40416563e-01 1.04653254e-01 3.27142328e-03 3.24918851e-02
379 1.44471020e-01 1.07600242e-01 3.04074446e-03 3.38300355e-02
380 1.40557930e-01 1.04130685e-01 3.07438476e-03 3.33528630e-02
381 1.40816376e-01 1.04245231e-01 3.00355814e-03 3.35675851e-02
382 1.40483215e-01 1.03574425e-01 3.20076337e-03 3.37080248e-02
383 1.40756518e-01 1.04319379e-01 3.23032751e-03 3.32068093e-02
384 1.40491366e-01 1.04499355e-01 3.22196959e-03 3.27700414e-02
385 1.41682729e-01 1.05061479e-01 3.08962306e-03 3.35316285e-02
386 1.41808748e-01 1.04836263e-01 2.93685170e-03 3.40356380e-02
387 1.41618267e-01 1.04387969e-01 2.93419696e-03 3.42960991e-02
388 1.40845776e-01 1.03907347e-01 3.04570142e-03 3.38927358e-02
389 1.41731903e-01 1.04850329e-01 3.17274220e-03 3.37088369e-02
390 1.41612381e-01 1.03913702e-01 3.06377094e-03 3.46349031e-02
391 1.41627684e-01 1.03249803e-01 3.13626975e-03 3.52416113e-02
392 1.41186550e-01 1.03413068e-01 3.20599484e-03 3.45674902e-02
393 1.41393572e-01 1.04916431e-01 3.33879818e-03 3.31383459e-02
394 1.40428245e-01 1.03339516e-01 3.06152483e-03 3.40271965e-02
395 1.40053257e-01 1.03324704e-01 2.90835998e-03 3.38201970e-02
396 1.38666704e-01 1.02277756e-01 2.83167372e-03 3.35572734e-02
397 1.40431568e-01 1.03578083e-01 3.04594007e-03 3.38075422e-02
398 1.39964074e-01 1.01861633e-01 2.94390740e-03 3.51585336e-02
399 1.41378060e-01 1.04458846e-01 2.83031864e-03 3.40888947e-02
400 1.39235139e-01 1.02269903e-01 2.89403321e-03 3.40712033e-02
401 1.38651848e-01 1.01113886e-01 3.03550903e-03 3.45024578e-02
402 1.39603794e-01 1.02258489e-01 2.82766297e-03 3.45176496e-02
403 1.39211684e-01 1.01476230e-01 2.95631820e-03 3.47791351e-02
404 1.38954803e-01 1.00725666e-01 2.87382770e-03 3.53553072e-02
405 1.37540564e-01 9.93506461e-02 2.62086210e-03 3.55690531e-02
406 1.39402628e-01 1.00734532e-01 2.93904520e-03 3.57290432e-02
407 1.39512718e-01 1.00844115e-01 3.00961360e-03 3.56589854e-02
408 1.38917893e-01 1.00023851e-01 2.97256163e-03 3.59214805e-02
409 1.38734773e-01 1.00879446e-01 3.40512116e-03 3.44502032e-02
410 1.39537811e-01 1.01877138e-01 3.15012387e-03 3.45105492e-02
411 1.38039380e-01 9.88133848e-02 3.16271093e-03 3.60632837e-02
412 1.39127806e-01 1.00934103e-01 3.13401036e-03 3.50596868e-02
413 1.38341516e-01 1.00963339e-01 2.76185805e-03 3.46163176e-02
414 1.39362678e-01 1.01119108e-01 2.96236109e-03 3.52812149e-02
415 1.37879223e-01 9.92700830e-02 2.73974752e-03 3.58693972e-02
416 1.36951059e-01 9.85763073e-02 3.23586306e-03 3.51388864e-02
417 1.37511149e-01 9.85653475e-02 2.89515126e-03 3.60506512e-02
418 1.40209645e-01 1.01911917e-01 2.65599880e-03 3.56417224e-02
419 1.37785628e-01 9.97692198e-02 2.77991267e-03 3.52364965e-02
420 1.39781982e-01 1.00398690e-01 2.92785768e-03 3.64554375e-02
421 1.37058347e-01 9.82226878e-02 3.18393717e-03 3.56517136e-02
422 1.38200521e-01 9.96137485e-02 2.65868660e-03 3.59280854e-02
423 1.37759030e-01 9.89490971e-02 2.94237281e-03 3.58675495e-02
424 1.37467921e-01 9.90986824e-02 3.01546464e-03 3.53537649e-02
425 1.37494773e-01 9.84096825e-02 2.96500837e-03 3.61200869e-02
426 1.36115134e-01 9.77557153e-02 3.02279391e-03 3.53366174e-02
427 1.36199236e-01 9.71389115e-02 2.98551773e-03 3.60748172e-02
428 1.35630414e-01 9.68726128e-02 3.04405298e-03 3.57137434e-02
429 1.36815995e-01 9.81557816e-02 3.18056019e-03 3.54796574e-02
430 1.36398613e-01 9.76437405e-02 2.93133594e-03 3.58235464e-02
431 1.36278525e-01 9.64852422e-02 2.81789107e-03 3.69753875e-02
432 1.35960221e-01 9.64605063e-02 2.83991825e-03 3.66598032e-02
433 1.34994105e-01 9.53755602e-02 2.82737473e-03 3.67911719e-02
434 1.36164486e-01 9.77333561e-02 2.71207141e-03 3.57190557e-02
435 1.37958258e-01 9.82326046e-02 3.17381578e-03 3.65518443e-02
436 1.35635197e-01 9.60868150e-02 2.80235545e-03 3.67460325e-02
437 1.39025688e-01 9.91778895e-02 2.99688755e-03 3.68509144e-02
438 1.35312945e-01 9.67705548e-02 2.82514933e-03 3.57172452e-02
439 1.35176957e-01 9.64967683e-02 2.80183787e-03 3.58783603e-02
440 1.37285352e-01 9.70037133e-02 2.90303910e-03 3.73786017e-02
441 1.36924013e-01 9.79355201e-02 2.80716550e-03 3.61813270e-02
442 1.37020707e-01 9.69165415e-02 2.86830752e-03 3.72358523e-02
443 1.36653200e-01 9.65393633e-02 2.68518203e-03 3.74286547e-02
444 1.33489072e-01 9.45565999e-02 2.89379340e-03 3.60386819e-02
445 1.36429161e-01 9.74844620e-02 2.78371200e-03 3.61609906e-02
446 1.35972947e-01 9.62396041e-02 2.80025927e-03 3.69330905e-02
447 1.35160446e-01 9.59919915e-02 3.00404057e-03 3.61644179e-02
448 1.36267871e-01 9.72986817e-02 2.72091106e-03 3.62482741e-02
449 1.35260895e-01 9.61424783e-02 2.55895895e-03 3.65594551e-02
450 1.35688305e-01 9.50666517e-02 2.91493186e-03 3.77067216e-02
451 1.34499401e-01 9.45591182e-02 2.98167439e-03 3.69586013e-02
452 1.34805202e-01 9.51697081e-02 2.79673748e-03 3.68387513e-02
453 1.34932742e-01 9.57332328e-02 2.74663744e-03 3.64528745e-02
454 1.36489928e-01 9.70031917e-02 2.58445065e-03 3.69022936e-02
455 1.34955138e-01 9.49865878e-02 2.59476039e-03 3.73737924e-02
456 1.36383101e-01 9.66128930e-02 2.52830284e-03 3.72419097e-02
457 1.35784373e-01 9.63079408e-02 2.65807519e-03 3.68183516e-02
458 1.34696409e-01 9.44838822e-02 2.94530671e-03 3.72672230e-02
459 1.34293929e-01 9.38867405e-02 2.59942003e-03 3.78077701e-02
460 1.34780630e-01 9.44840834e-02 2.73843715e-03 3.75581086e-02
461 1.33861408e-01 9.35944766e-02 2.67474167e-03 3.75921912e-02
462 1.33875817e-01 9.43131521e-02 2.68398551e-03 3.68786827e-02
463 1.34300888e-01 9.40391198e-02 2.55249953e-03 3.77092585e-02
464 1.33818060e-01 9.32285935e-02 2.56117037e-03 3.80282961e-02
465 1.34004548e-01 9.37135741e-02 2.63612485e-03 3.76548432e-02
466 1.35510132e-01 9.31134373e-02 2.59404979e-03 3.98026519e-02
467 1.34950161e-01 9.44204926e-02 2.42151367e-03 3.81081589e-02
468 1.35251820e-01 9.41071287e-02 2.61947559e-03 3.85252200e-02
469 1.34196669e-01 9.42949355e-02 2.45120889e-03 3.74505259e-02
470 1.34298429e-01 9.48936865e-02 2.51949462e-03 3.68852504e-02
471 1.34194434e-01 9.39966664e-02 2.50769081e-03 3.76900695e-02
472 1.32427767e-01 9.32470709e-02 2.76926206e-03 3.64114381e-02
473 1.34948969e-01 9.37439203e-02 2.87344563e-03 3.83316129e-02
474 1.35037169e-01 9.39645618e-02 2.64178519e-03 3.84308249e-02
475 1.34210899e-01 9.35231298e-02 2.66085332e-03 3.80269140e-02
476 1.34556845e-01 9.29886773e-02 2.58915802e-03 3.89790088e-02
477 1.34867862e-01 9.44862887e-02 2.56164884e-03 3.78199220e-02
478 1.34964168e-01 9.43936557e-02 2.68962653e-03 3.78808826e-02
479 1.32776245e-01 9.25110653e-02 2.69233226e-03 3.75728495e-02
480 1.32454678e-01 9.16252732e-02 2.74768891e-03 3.80817093e-02
481 1.34388998e-01 9.32031497e-02 2.65294407e-03 3.85329090e-02
482 1.34353802e-01 9.40248221e-02 2.69567827e-03 3.76333036e-02
483 1.34921312e-01 9.23628509e-02 2.76706461e-03 3.97913903e-02
484 1.33588284e-01 9.33180600e-02 2.46304832e-03 3.78071666e-02
485 1.33210391e-01 9.30439830e-02 2.51772278e-03 3.76486853e-02
486 1.36332825e-01 9.51853022e-02 2.74994271e-03 3.83975767e-02
487 1.33752495e-01 9.32565629e-02 2.65157875e-03 3.78443561e-02
488 1.32599279e-01 9.11695659e-02 2.80482229e-03 3.86248864e-02
489 1.32860988e-01 9.16382372e-02 2.71012541e-03 3.85126248e-02
490 1.33462250e-01 9.20739174e-02 2.59938487e-03 3.87889519e-02
491 1.33062273e-01 9.18948203e-02 2.60173762e-03 3.85657102e-02
492 1.33013576e-01 9.15250704e-02 2.55050184e-03 3.89380008e-02
493 1.33104354e-01 9.23936069e-02 2.78281537e-03 3.79279368e-02
494 1.32070526e-01 9.06943902e-02 2.61362223e-03 3.87625210e-02
495 1.33498669e-01 9.25499722e-02 2.56841304e-03 3.83802727e-02
496 1.34332478e-01 9.25446078e-02 2.59643607e-03 3.91914286e-02
497 1.33622721e-01 9.26657692e-02 2.58707604e-03 3.83698754e-02
498 1.33923322e-01 9.14473236e-02 2.49885628e-03 3.99771407e-02
499 1.31894857e-01 9.10263211e-02 2.35399511e-03 3.85145433e-02
500 1.33828521e-01 9.12974626e-02 2.56536109e-03 3.99656929e-02
